# 商品代號	商品名稱	成本	定價
305003	特安康 Sleep95 (動物膠囊)	2880	2880
512001	釋壓按摩床	128000	128000
555005	親膚抑菌枕木模7CM	0	0
555006	親膚抑菌枕木模10CM	0	0
555007	親膚抑菌枕鋁模7CM	0	0
555008	親膚抑菌枕鋁模10CM	0	0
61130333	LS釋壓舒眠薄床墊-PUFOAM(7cm薄單標6x6.2)	31500	31500
80300001	瓦楞紙盒(採檢盒)	7990	7990
80300002	綠色彩盒(採檢盒)	7990	7990
80300003	彩盒(精準化)	0	0
80300004	彩盒(暢纖)	0	0
80300005	彩盒(代謝)	1800	1800
80300006	彩盒(Sleep95)	2880	2880
80300007	彩盒(體驗組)	0	0
81300001	糞便採樣管(冷凍)	0	0
81300002	糞便採樣管(常溫)	0	0
81300003	保存液	180	180
81300004	採血管	0	0
82300001	綜合益生菌_單片	600	600
82300002	鼠李糖乳酸桿菌 LGG_單片	600	600
82300003	雷特氏雙歧桿菌 HN019_單片	600	600
82300004	凱氏乳酸桿菌 LC5_單片	600	600
82300005	洛德乳酸桿菌 ADR-1_單片	600	600
82300006	比菲德氏菌 BGN4_單片	600	600
82300007	鼠李糖乳桿菌 AD500_單片	600	600
82300008	羅伊氏乳桿菌 BR101_單片	600	600
82300009	嗜酸乳桿菌 AD300_單片	600	600
82300010	格氏乳酸桿菌 BR1021_單片	600	600
82300011	副乾酪乳桿菌 BRAP-01_單片	600	600
82300012	比菲德氏龍根菌 BR022_單片	600	600
82300013	活綠美 綠藻片單包	0	0
881001	純粹保健禮	299	299
130337	LaSova舒活墊-雙標(Xpore)	4280	4280
130336	LaSova舒活墊-雙加(Xpore)	4880	4880
130339	LaSova舒活墊-枕頭保潔墊	680	680
130338	LaSova舒活墊-單加(Xpore)	3460	3460
170009	舒眠雲朵枕 40x62x12CM	3860	3860
130335	LaSove舒活墊-雙特(Xpore)	5180	5180
